time size
60 1000
84 1050
82 1100
77 1150
70 1200
68 1250
61 1300
68 1350
74 1400
72 1450
70 1500
93 1550
77 1600
76 1650
70 1700
67 1750
73 1800
74 1850
73 1900
80 1950
68 2000
167 2050
69 2100
67 2150
75 2200
75 2250
65 2300
72 2350
83 2400
73 2450
85 2500
73 2550
77 2600
69 2650
71 2700
78 2750
68 2800
66 2850
69 2900
71 2950
73 3000
67 3050
76 3100
73 3150
62 3200
67 3250
109 3300
73 3350
63 3400
71 3450
64 3500
68 3550
66 3600
68 3650
70 3700
79 3750
86 3800
76 3850
86 3900
68 3950
69 4000
65 4050
60 4100
63 4150
80 4200
77 4250
68 4300
76 4350
73 4400
68 4450
71 4500
76 4550
70 4600
81 4650
84 4700
89 4750
81 4800
68 4850
67 4900
66 4950
68 5000
70 5050
67 5100
71 5150
63 5200
68 5250
66 5300
164 5350
88 5400
71 5450
75 5500
68 5550
75 5600
67 5650
119 5700
64 5750
69 5800
72 5850
75 5900
76 5950
68 6000
73 6050
74 6100
75 6150
72 6200
68 6250
68 6300
77 6350
70 6400
71 6450
72 6500
71 6550
77 6600
74 6650
75 6700
72 6750
71 6800
73 6850
74 6900
73 6950
75 7000
65 7050
59 7100
76 7150
69 7200
111 7250
75 7300
65 7350
76 7400
73 7450
53 7500
47 7550
49 7600
49 7650
51 7700
49 7750
44 7800
46 7850
62 7900
49 7950
45 8000
50 8050
50 8100
48 8150
58 8200
58 8250
52 8300
48 8350
48 8400
48 8450
47 8500
47 8550
48 8600
49 8650
47 8700
49 8750
50 8800
49 8850
47 8900
49 8950
48 9000
50 9050
51 9100
48 9150
52 9200
46 9250
43 9300
43 9350
46 9400
45 9450
41 9500
43 9550
45 9600
47 9650
42 9700
45 9750
45 9800
44 9850
44 9900
46 9950
45 10000
44 10050
45 10100
40 10150
45 10200
43 10250
48 10300
54 10350
46 10400
45 10450
50 10500
44 10550
76 10600
40 10650
48 10700
43 10750
44 10800
2876 10850
67 10900
898 10950
95 11000
68 11050
68 11100
75 11150
61 11200
65 11250
67 11300
66 11350
67 11400
70 11450
72 11500
70 11550
73 11600
67 11650
71 11700
215 11750
65 11800
64 11850
66 11900
69 11950
65 12000
65 12050
65 12100
77 12150
64 12200
59 12250
70 12300
62 12350
63 12400
76 12450
67 12500
68 12550
67 12600
176 12650
61 12700
51 12750
55 12800
53 12850
50 12900
51 12950
49 13000
47 13050
49 13100
53 13150
52 13200
40 13250
44 13300
78 13350
50 13400
44 13450
40 13500
42 13550
43 13600
42 13650
42 13700
39 13750
156 13800
40 13850
43 13900
44 13950
39 14000
41 14050
42 14100
44 14150
42 14200
43 14250
43 14300
41 14350
39 14400
38 14450
48 14500
49 14550
42 14600
46 14650
38 14700
39 14750
46 14800
56 14850
57 14900
53 14950
58 15000
49 15050
49 15100
45 15150
52 15200
80 15250
53 15300
75 15350
57 15400
75 15450
64 15500
64 15550
55 15600
57 15650
98 15700
55 15750
79 15800
65 15850
68 15900
42 15950
50 16000
44 16050
46 16100
52 16150
68 16200
60 16250
43 16300
57 16350
60 16400
48 16450
49 16500
46 16550
51 16600
50 16650
51 16700
50 16750
50 16800
50 16850
52 16900
48 16950
50 17000
48 17050
46 17100
57 17150
45 17200
44 17250
42 17300
41 17350
40 17400
42 17450
46 17500
41 17550
45 17600
43 17650
40 17700
44 17750
39 17800
41 17850
44 17900
48 17950
46 18000
49 18050
52 18100
43 18150
53 18200
50 18250
45 18300
60 18350
53 18400
49 18450
41 18500
38 18550
48 18600
58 18650
48 18700
49 18750
47 18800
52 18850
46 18900
48 18950
45 19000
46 19050
50 19100
51 19150
51 19200
52 19250
46 19300
48 19350
48 19400
42 19450
49 19500
149 19550
51 19600
51 19650
41 19700
47 19750
50 19800
53 19850
55 19900
47 19950
47 20000
52 20050
57 20100
48 20150
49 20200
71 20250
48 20300
44 20350
45 20400
47 20450
48 20500
55 20550
60 20600
49 20650
49 20700
48 20750
49 20800
51 20850
53 20900
53 20950
52 21000
50 21050
53 21100
48 21150
62 21200
48 21250
46 21300
47 21350
49 21400
48 21450
40 21500
53 21550
43 21600
42 21650
41 21700
38 21750
39 21800
39 21850
48 21900
67 21950
45 22000
49 22050
45 22100
50 22150
51 22200
47 22250
53 22300
51 22350
50 22400
50 22450
48 22500
49 22550
50 22600
50 22650
50 22700
176 22750
49 22800
51 22850
51 22900
50 22950
52 23000
50 23050
50 23100
49 23150
49 23200
48 23250
42 23300
58 23350
51 23400
89 23450
65 23500
56 23550
52 23600
44 23650
48 23700
44 23750
55 23800
3239 23850
60 23900
58 23950
98 24000
80 24050
39 24100
36 24150
45 24200
54 24250
49 24300
48 24350
44 24400
81 24450
