time size
79 1000
68 1050
100 1100
81 1150
75 1200
75 1250
78 1300
74 1350
101 1400
82 1450
68 1500
72 1550
73 1600
83 1650
72 1700
78 1750
80 1800
79 1850
81 1900
80 1950
75 2000
71 2050
78 2100
78 2150
72 2200
68 2250
61 2300
83 2350
82 2400
79 2450
73 2500
74 2550
79 2600
77 2650
80 2700
72 2750
79 2800
76 2850
68 2900
75 2950
74 3000
77 3050
75 3100
74 3150
85 3200
79 3250
74 3300
79 3350
74 3400
77 3450
75 3500
72 3550
76 3600
74 3650
76 3700
67 3750
71 3800
80 3850
78 3900
77 3950
77 4000
79 4050
76 4100
76 4150
76 4200
77 4250
74 4300
86 4350
69 4400
113 4450
76 4500
82 4550
82 4600
80 4650
87 4700
75 4750
76 4800
77 4850
77 4900
76 4950
69 5000
73 5050
71 5100
70 5150
82 5200
90 5250
74 5300
66 5350
72 5400
88 5450
74 5500
77 5550
70 5600
73 5650
77 5700
81 5750
75 5800
80 5850
72 5900
73 5950
75 6000
82 6050
89 6100
78 6150
68 6200
79 6250
75 6300
71 6350
68 6400
74 6450
82 6500
82 6550
77 6600
74 6650
77 6700
71 6750
74 6800
79 6850
78 6900
77 6950
74 7000
72 7050
72 7100
75 7150
73 7200
72 7250
80 7300
85 7350
74 7400
82 7450
76 7500
90 7550
74 7600
85 7650
76 7700
75 7750
83 7800
77 7850
78 7900
75 7950
75 8000
75 8050
77 8100
73 8150
77 8200
76 8250
76 8300
80 8350
73 8400
77 8450
84 8500
79 8550
77 8600
80 8650
73 8700
80 8750
84 8800
83 8850
81 8900
75 8950
74 9000
73 9050
74 9100
79 9150
77 9200
71 9250
72 9300
72 9350
74 9400
74 9450
86 9500
85 9550
75 9600
77 9650
79 9700
77 9750
78 9800
73 9850
73 9900
76 9950
75 10000
85 10050
73 10100
79 10150
79 10200
69 10250
71 10300
77 10350
71 10400
76 10450
76 10500
73 10550
83 10600
72 10650
76 10700
76 10750
72 10800
130 10850
75 10900
77 10950
78 11000
78 11050
73 11100
77 11150
75 11200
75 11250
78 11300
78 11350
73 11400
80 11450
70 11500
78 11550
78 11600
85 11650
74 11700
104 11750
74 11800
81 11850
75 11900
79 11950
78 12000
78 12050
77 12100
80 12150
72 12200
75 12250
77 12300
72 12350
73 12400
78 12450
71 12500
76 12550
76 12600
77 12650
79 12700
80 12750
73 12800
68 12850
81 12900
80 12950
71 13000
69 13050
87 13100
147 13150
70 13200
70 13250
76 13300
76 13350
84 13400
66 13450
100 13500
76 13550
76 13600
75 13650
72 13700
69 13750
74 13800
69 13850
65 13900
79 13950
72 14000
75 14050
72 14100
68 14150
77 14200
77 14250
74 14300
72 14350
71 14400
75 14450
82 14500
75 14550
74 14600
76 14650
70 14700
81 14750
69 14800
67 14850
73 14900
77 14950
68 15000
74 15050
83 15100
76 15150
75 15200
72 15250
74 15300
76 15350
78 15400
82 15450
81 15500
81 15550
80 15600
69 15650
76 15700
86 15750
75 15800
76 15850
79 15900
79 15950
74 16000
82 16050
82 16100
75 16150
86 16200
75 16250
72 16300
77 16350
72 16400
71 16450
79 16500
75 16550
229 16600
74 16650
78 16700
74 16750
80 16800
88 16850
81 16900
71 16950
83 17000
79 17050
78 17100
81 17150
76 17200
84 17250
84 17300
196 17350
79 17400
78 17450
77 17500
74 17550
81 17600
74 17650
80 17700
77 17750
75 17800
74 17850
82 17900
80 17950
75 18000
73 18050
71 18100
72 18150
73 18200
69 18250
81 18300
78 18350
75 18400
76 18450
75 18500
88 18550
79 18600
73 18650
73 18700
73 18750
81 18800
71 18850
79 18900
86 18950
81 19000
76 19050
82 19100
76 19150
79 19200
75 19250
80 19300
70 19350
82 19400
77 19450
80 19500
76 19550
161 19600
78 19650
81 19700
79 19750
78 19800
75 19850
75 19900
310 19950
85 20000
71 20050
66 20100
72 20150
72 20200
81 20250
76 20300
86 20350
73 20400
68 20450
84 20500
78 20550
79 20600
84 20650
84 20700
80 20750
77 20800
79 20850
80 20900
77 20950
79 21000
1939 21050
72 21100
84 21150
80 21200
80 21250
79 21300
77 21350
84 21400
75 21450
79 21500
78 21550
71 21600
70 21650
77 21700
73 21750
76 21800
75 21850
82 21900
79 21950
79 22000
79 22050
79 22100
79 22150
80 22200
81 22250
77 22300
77 22350
82 22400
79 22450
77 22500
75 22550
96 22600
84 22650
199 22700
76 22750
76 22800
83 22850
75 22900
79 22950
75 23000
77 23050
73 23100
82 23150
74 23200
76 23250
78 23300
85 23350
84 23400
80 23450
80 23500
78 23550
82 23600
73 23650
5622 23700
76 23750
84 23800
75 23850
74 23900
81 23950
73 24000
97 24050
72 24100
105 24150
80 24200
82 24250
82 24300
79 24350
74 24400
81 24450
77 24500
82 24550
73 24600
72 24650
69 24700
74 24750
78 24800
88 24850
70 24900
81 24950
83 25000
68 25050
74 25100
76 25150
76 25200
78 25250
78 25300
74 25350
75 25400
75 25450
77 25500
233 25550
81 25600
209 25650
73 25700
78 25750
81 25800
80 25850
88 25900
74 25950
74 26000
102 26050
74 26100
77 26150
82 26200
77 26250
80 26300
74 26350
76 26400
78 26450
76 26500
76 26550
99 26600
240 26650
77 26700
75 26750
71 26800
80 26850
77 26900
77 26950
78 27000
73 27050
73 27100
82 27150
80 27200
74 27250
75 27300
77 27350
79 27400
84 27450
79 27500
83 27550
74 27600
82 27650
72 27700
81 27750
81 27800
75 27850
78 27900
67 27950
75 28000
80 28050
78 28100
73 28150
75 28200
72 28250
81 28300
77 28350
78 28400
77 28450
71 28500
79 28550
79 28600
79 28650
75 28700
83 28750
77 28800
79 28850
70 28900
76 28950
75 29000
79 29050
78 29100
81 29150
82 29200
72 29250
75 29300
84 29350
75 29400
76 29450
77 29500
75 29550
77 29600
196 29650
77 29700
73 29750
74 29800
75 29850
85 29900
82 29950
76 30000
73 30050
72 30100
77 30150
75 30200
80 30250
9702 30300
154 30350
165 30400
236 30450
82 30500
78 30550
78 30600
80 30650
72 30700
69 30750
71 30800
76 30850
88 30900
142 30950
74 31000
76 31050
1105 31100
143 31150
152 31200
130 31250
233 31300
74 31350
73 31400
74 31450
77 31500
71 31550
60 31600
59 31650
77 31700
70 31750
62 31800
67 31850
79 31900
68 31950
64 32000
85 32050
86 32100
70 32150
367 32200
90 32250
78 32300
158 32350
75 32400
63 32450
74 32500
83 32550
93 32600
71 32650
68 32700
70 32750
75 32800
75 32850
80 32900
66 32950
73 33000
66 33050
70 33100
96 33150
85 33200
75 33250
72 33300
70 33350
70 33400
519 33450
468 33500
147 33550
146 33600
138 33650
207 33700
376 33750
76 33800
77 33850
157 33900
72 33950
86 34000
72 34050
79 34100
79 34150
70 34200
77 34250
72 34300
192 34350
60 34400
60 34450
60 34500
81 34550
79 34600
61 34650
72 34700
157 34750
82 34800
153 34850
79 34900
75 34950
76 35000
73 35050
70 35100
77 35150
64 35200
84 35250
166 35300
82 35350
126 35400
85 35450
79 35500
61 35550
375 35600
62 35650
73 35700
60 35750
61 35800
63 35850
236 35900
78 35950
148 36000
76 36050
74 36100
70 36150
69 36200
69 36250
116 36300
76 36350
69 36400
71 36450
148 36500
81 36550
79 36600
71 36650
59 36700
62 36750
61 36800
72 36850
60 36900
57 36950
77 37000
67 37050
71 37100
76 37150
72 37200
79 37250
69 37300
80 37350
72 37400
79 37450
79 37500
84 37550
73 37600
71 37650
76 37700
80 37750
76 37800
77 37850
77 37900
222 37950
78 38000
75 38050
76 38100
81 38150
74 38200
138 38250
72 38300
84 38350
83 38400
115 38450
92 38500
88 38550
267 38600
144 38650
72 38700
73 38750
69 38800
90 38850
158 38900
79 38950
79 39000
482 39050
571 39100
170 39150
75 39200
159 39250
267 39300
158 39350
74 39400
76 39450
73 39500
70 39550
81 39600
72 39650
73 39700
77 39750
73 39800
74 39850
83 39900
78 39950
74 40000
60 40050
56 40100
71 40150
74 40200
67 40250
60 40300
61 40350
61 40400
57 40450
70 40500
58 40550
59 40600
57 40650
56 40700
64 40750
58 40800
56 40850
70 40900
58 40950
57 41000
59 41050
60 41100
72 41150
57 41200
56 41250
59 41300
56 41350
56 41400
58 41450
56 41500
56 41550
56 41600
56 41650
56 41700
59 41750
60 41800
57 41850
57 41900
56 41950
56 42000
58 42050
68 42100
60 42150
56 42200
55 42250
56 42300
55 42350
58 42400
57 42450
57 42500
56 42550
55 42600
55 42650
56 42700
56 42750
56 42800
56 42850
56 42900
55 42950
56 43000
56 43050
120 43100
70 43150
60 43200
57 43250
59 43300
76 43350
59 43400
57 43450
56 43500
56 43550
56 43600
56 43650
56 43700
69 43750
59 43800
71 43850
63 43900
56 43950
56 44000
60 44050
56 44100
55 44150
57 44200
56 44250
56 44300
59 44350
58 44400
127 44450
57 44500
57 44550
56 44600
56 44650
55 44700
55 44750
56 44800
55 44850
55 44900
55 44950
55 45000
56 45050
56 45100
56 45150
57 45200
56 45250
55 45300
56 45350
55 45400
55 45450
56 45500
56 45550
56 45600
56 45650
56 45700
77 45750
71 45800
60 45850
59 45900
57 45950
70 46000
64 46050
59 46100
56 46150
56 46200
56 46250
56 46300
56 46350
55 46400
56 46450
56 46500
56 46550
67 46600
58 46650
57 46700
56 46750
56 46800
56 46850
56 46900
56 46950
56 47000
56 47050
55 47100
56 47150
55 47200
56 47250
56 47300
58 47350
56 47400
55 47450
56 47500
56 47550
56 47600
69 47650
59 47700
56 47750
56 47800
56 47850
56 47900
56 47950
56 48000
57 48050
56 48100
56 48150
56 48200
56 48250
73 48300
57 48350
55 48400
56 48450
56 48500
56 48550
55 48600
56 48650
56 48700
56 48750
58 48800
61 48850
112 48900
69 48950
58 49000
57 49050
260 49100
208 49150
78 49200
73 49250
73 49300
171 49350
73 49400
61 49450
73 49500
87 49550
80 49600
83 49650
78 49700
75 49750
82 49800
68 49850
71 49900
88 49950
77 50000
72 50050
76 50100
76 50150
71 50200
62 50250
73 50300
51 50350
78 50400
49 50450
52 50500
72 50550
51 50600
55 50650
51 50700
71 50750
61 50800
80 50850
66 50900
59 50950
60 51000
75 51050
60 51100
69 51150
61 51200
71 51250
76 51300
60 51350
56 51400
56 51450
56 51500
65 51550
60 51600
57 51650
56 51700
56 51750
56 51800
121 51850
60 51900
57 51950
60 52000
57 52050
56 52100
56 52150
56 52200
55 52250
75 52300
58 52350
56 52400
55 52450
56 52500
57 52550
56 52600
55 52650
56 52700
56 52750
55 52800
56 52850
55 52900
56 52950
56 53000
56 53050
59 53100
57 53150
56 53200
56 53250
81 53300
71 53350
59 53400
56 53450
55 53500
56 53550
56 53600
56 53650
55 53700
56 53750
55 53800
56 53850
55 53900
55 53950
58 54000
56 54050
56 54100
73 54150
58 54200
56 54250
56 54300
55 54350
55 54400
55 54450
56 54500
55 54550
56 54600
56 54650
56 54700
56 54750
56 54800
56 54850
56 54900
56 54950
55 55000
55 55050
55 55100
55 55150
55 55200
55 55250
56 55300
56 55350
56 55400
57 55450
56 55500
56 55550
56 55600
56 55650
56 55700
56 55750
56 55800
56 55850
56 55900
55 55950
55 56000
56 56050
56 56100
56 56150
57 56200
56 56250
55 56300
56 56350
55 56400
69 56450
69 56500
72 56550
83 56600
75 56650
74 56700
95 56750
78 56800
109 56850
88 56900
80 56950
69 57000
77 57050
71 57100
206 57150
71 57200
68 57250
58 57300
83 57350
86 57400
70 57450
73 57500
102 57550
75 57600
80 57650
83 57700
71 57750
67 57800
61 57850
60 57900
62 57950
59 58000
70 58050
62 58100
71 58150
65 58200
81 58250
62 58300
62 58350
59 58400
77 58450
71 58500
60 58550
74 58600
68 58650
60 58700
60 58750
75 58800
74 58850
73 58900
61 58950
68 59000
70 59050
80 59100
60 59150
75 59200
113 59250
62 59300
60 59350
67 59400
79 59450
228 59500
78 59550
73 59600
61 59650
77 59700
75 59750
81 59800
75 59850
74 59900
74 59950
66 60000
76 60050
69 60100
75 60150
66 60200
71 60250
81 60300
68 60350
65 60400
88 60450
82 60500
87 60550
64 60600
69 60650
73 60700
90 60750
71 60800
76 60850
74 60900
89 60950
69 61000
71 61050
62 61100
77 61150
61 61200
58 61250
74 61300
69 61350
61 61400
57 61450
56 61500
56 61550
70 61600
74 61650
67 61700
61 61750
57 61800
56 61850
56 61900
56 61950
56 62000
56 62050
56 62100
56 62150
56 62200
55 62250
61 62300
63 62350
59 62400
57 62450
60 62500
57 62550
56 62600
56 62650
57 62700
56 62750
56 62800
56 62850
56 62900
56 62950
56 63000
59 63050
56 63100
56 63150
56 63200
56 63250
56 63300
