time size
21992 10000
32655 15000
43907 20000
58019 25000
84402 30000
96646 35000
92737 40000
113246 45000
124785 50000
142491 55000
149334 60000
193758 65000
173182 70000
211902 75000
226533 80000
226351 85000
221381 90000
265633 95000
253905 100000
256893 105000
282602 110000
312846 115000
300540 120000
353456 125000
373288 130000
374660 135000
383983 140000
372511 145000
377169 150000
438877 155000
451678 160000
554662 165000
563028 170000
654764 175000
501761 180000
548913 185000
496905 190000
476944 195000
535070 200000
491482 205000
511837 210000
547107 215000
616975 220000
587623 225000
566211 230000
625547 235000
642754 240000
694757 245000
641423 250000
644329 255000
703599 260000
687604 265000
671042 270000
757185 275000
776945 280000
827886 285000
958977 290000
777927 295000
799306 300000
806457 305000
847965 310000
840890 315000
972532 320000
1004991 325000
986470 330000
1130709 335000
912732 340000
915108 345000
910505 350000
1085309 355000
1205462 360000
1227308 365000
958769 370000
1058871 375000
1234403 380000
1267630 385000
1126137 390000
1095586 395000
1253225 400000
1322589 405000
1189824 410000
1273477 415000
1200132 420000
1218137 425000
1390588 430000
1299772 435000
1311657 440000
1119674 445000
1152055 450000
1352332 455000
1535940 460000
1229296 465000
1326321 470000
1433016 475000
1228323 480000
1289399 485000
1464839 490000
1634648 495000
1439173 500000
1445623 505000
1427952 510000
1440921 515000
1452977 520000
1469910 525000
1498455 530000
1341792 535000
1735462 540000
1562238 545000
1389268 550000
1603697 555000
1488584 560000
1665389 565000
1601526 570000
1578024 575000
1487445 580000
1876391 585000
1678761 590000
1778217 595000
1903615 600000
1827609 605000
1821389 610000
1864369 615000
1741129 620000
2155111 625000
1734119 630000
2101868 635000
1899104 640000
2028816 645000
2003929 650000
1771626 655000
2234601 660000
1874338 665000
1924096 670000
2003576 675000
2025734 680000
2193741 685000
1911792 690000
2115902 695000
2285687 700000
1972761 705000
1982316 710000
2240520 715000
2510200 720000
2080255 725000
1931602 730000
2036998 735000
1989745 740000
2196822 745000
2207828 750000
2209094 755000
2197280 760000
2145552 765000
2270583 770000
2104350 775000
2342140 780000
2212809 785000
2242731 790000
2265115 795000
2398754 800000
2330952 805000
2290100 810000
2238714 815000
2552803 820000
2429791 825000
2490922 830000
2298301 835000
2418597 840000
2360758 845000
2406015 850000
2565665 855000
2312230 860000
2440245 865000
2325938 870000
2523199 875000
2407563 880000
2563921 885000
2533116 890000
2651436 895000
2877664 900000
2455846 905000
2555448 910000
2564595 915000
2793319 920000
2730288 925000
2744466 930000
2734024 935000
2962059 940000
2546576 945000
2739668 950000
2772012 955000
3051906 960000
2783296 965000
2962809 970000
2902266 975000
3018561 980000
3057737 985000
2891483 990000
3266189 995000
2883766 1000000
2918434 1005000
2966213 1010000
3205492 1015000
3007335 1020000
2965426 1025000
3030484 1030000
3118394 1035000
3002982 1040000
2952266 1045000
3118127 1050000
3013906 1055000
2989239 1060000
3079309 1065000
3149134 1070000
3088128 1075000
2986516 1080000
3125180 1085000
3134611 1090000
3141374 1095000
3039791 1100000
2915538 1105000
3188788 1110000
2958268 1115000
3099366 1120000
3139632 1125000
3229909 1130000
3533521 1135000
3196748 1140000
3319460 1145000
3283860 1150000
