time size
29195 10000
44068 15000
50425 20000
66405 25000
89101 30000
98999 35000
112339 40000
131203 45000
145506 50000
136096 55000
149110 60000
150084 65000
158543 70000
188501 75000
226695 80000
228301 85000
207262 90000
247795 95000
243417 100000
269819 105000
260561 110000
277280 115000
325338 120000
304586 125000
360155 130000
311413 135000
355437 140000
362517 145000
382035 150000
376592 155000
374176 160000
368946 165000
419740 170000
412504 175000
449231 180000
460246 185000
443174 190000
477160 195000
504301 200000
461442 205000
489009 210000
491058 215000
509912 220000
532049 225000
620284 230000
594583 235000
586602 240000
593405 245000
582546 250000
656904 255000
641704 260000
634854 265000
630599 270000
637868 275000
679594 280000
688465 285000
691950 290000
704931 295000
685477 300000
689935 305000
750903 310000
794195 315000
844652 320000
815671 325000
748374 330000
850147 335000
785133 340000
840248 345000
836346 350000
804810 355000
948461 360000
910319 365000
931900 370000
905901 375000
1001791 380000
968344 385000
988586 390000
1022574 395000
978209 400000
996305 405000
1034862 410000
1011029 415000
997126 420000
1078560 425000
1144069 430000
1159928 435000
1115047 440000
1079359 445000
1275220 450000
1218353 455000
1312998 460000
1447734 465000
1295243 470000
1186721 475000
1249180 480000
1507358 485000
1444820 490000
1469223 495000
1327071 500000
1370849 505000
1517002 510000
1359957 515000
1387878 520000
1312826 525000
1440049 530000
1487832 535000
1322570 540000
1403337 545000
1459658 550000
1371145 555000
1418524 560000
1361833 565000
1401238 570000
1497343 575000
1519792 580000
1573549 585000
1524516 590000
1483741 595000
1576330 600000
1808993 605000
1682529 610000
1644079 615000
1567929 620000
1647931 625000
1654121 630000
1632379 635000
1965526 640000
1910943 645000
1732588 650000
1846087 655000
1748335 660000
1792614 665000
1864358 670000
1851100 675000
1810815 680000
1793883 685000
1963278 690000
1775993 695000
1739238 700000
1785774 705000
2047180 710000
2015338 715000
1985238 720000
1822830 725000
1994140 730000
2010154 735000
1931598 740000
2173328 745000
2166755 750000
2250751 755000
2549463 760000
2329356 765000
1947719 770000
2147923 775000
2358678 780000
2420026 785000
2257081 790000
2320040 795000
2420536 800000
2315787 805000
2286682 810000
2391218 815000
2234586 820000
2082994 825000
2084338 830000
2357189 835000
2549706 840000
2547784 845000
2515739 850000
2412024 855000
2623427 860000
2367874 865000
2710981 870000
2327747 875000
2470744 880000
2469952 885000
2396976 890000
2718654 895000
2523394 900000
2547643 905000
2760472 910000
2869771 915000
2797933 920000
2666358 925000
2553455 930000
2852226 935000
2795151 940000
2509577 945000
2538619 950000
2456470 955000
2598761 960000
2589533 965000
2510285 970000
2635309 975000
2697016 980000
2605173 985000
2633519 990000
2563545 995000
2778525 1000000
2632244 1005000
2791542 1010000
2863131 1015000
2803643 1020000
2813938 1025000
2914953 1030000
2862170 1035000
2746587 1040000
2514740 1045000
2779447 1050000
2828816 1055000
2844562 1060000
2654238 1065000
2661920 1070000
2762275 1075000
2758612 1080000
2932883 1085000
2922554 1090000
2808189 1095000
2772581 1100000
2930781 1105000
2809440 1110000
2812261 1115000
2822589 1120000
2899073 1125000
2962304 1130000
2965013 1135000
2891103 1140000
2958778 1145000
3001397 1150000
2894360 1155000
3066727 1160000
3096587 1165000
3120586 1170000
2987102 1175000
3054950 1180000
3083742 1185000
2921207 1190000
3167392 1195000
3024922 1200000
3148469 1205000
3270879 1210000
3138288 1215000
3163144 1220000
3097722 1225000
3087282 1230000
3096331 1235000
3134975 1240000
3152922 1245000
3339028 1250000
3189221 1255000
3349514 1260000
3286784 1265000
3287448 1270000
3244212 1275000
3155063 1280000
3214122 1285000
3267499 1290000
3236151 1295000
3250213 1300000
3326486 1305000
3394938 1310000
3370672 1315000
3347746 1320000
3470587 1325000
3509738 1330000
3429143 1335000
3545899 1340000
3448313 1345000
3476674 1350000
3444495 1355000
3396592 1360000
3615061 1365000
4150210 1370000
3472207 1375000
3646315 1380000
3763387 1385000
3458837 1390000
3571270 1395000
3639011 1400000
3660690 1405000
3648255 1410000
3684226 1415000
3662341 1420000
3701793 1425000
3657803 1430000
3731468 1435000
3705840 1440000
3634416 1445000
3764477 1450000
3835565 1455000
3722701 1460000
3778676 1465000
3796060 1470000
3835579 1475000
3808496 1480000
3857223 1485000
3864950 1490000
3880369 1495000
