time size
21615 10000
26220 15000
37271 20000
44432 25000
56700 30000
63746 35000
89547 40000
90832 45000
88581 50000
105861 55000
118610 60000
130575 65000
131521 70000
137890 75000
144859 80000
162378 85000
182096 90000
214728 95000
212211 100000
203987 105000
229438 110000
243465 115000
237396 120000
251934 125000
324185 130000
323097 135000
326648 140000
343924 145000
362690 150000
343324 155000
364602 160000
381082 165000
346409 170000
373676 175000
318463 180000
326584 185000
361037 190000
367297 195000
414675 200000
441920 205000
508639 210000
424199 215000
450728 220000
439416 225000
448066 230000
417761 235000
430307 240000
450006 245000
515621 250000
448163 255000
443432 260000
470855 265000
622002 270000
611915 275000
601992 280000
591004 285000
637944 290000
632264 295000
573539 300000
568861 305000
568974 310000
570318 315000
599625 320000
570788 325000
654532 330000
637251 335000
627953 340000
624001 345000
652270 350000
627896 355000
674664 360000
708175 365000
725417 370000
804247 375000
795256 380000
779944 385000
746715 390000
708396 395000
746251 400000
725849 405000
733702 410000
786744 415000
763986 420000
798542 425000
746282 430000
794421 435000
894036 440000
866448 445000
868900 450000
921399 455000
926638 460000
860225 465000
908027 470000
872960 475000
981918 480000
908144 485000
881820 490000
897625 495000
860489 500000
1103286 505000
1076375 510000
1110642 515000
1015168 520000
1048195 525000
1038376 530000
1006254 535000
1046760 540000
1071497 545000
1084419 550000
988096 555000
1086625 560000
1178419 565000
1145113 570000
1148550 575000
1052856 580000
1120083 585000
1061939 590000
1087243 595000
1082927 600000
1129555 605000
1360829 610000
1775641 615000
1446777 620000
1550405 625000
1549819 630000
1565612 635000
1484576 640000
1326460 645000
1316666 650000
1672291 655000
1819593 660000
1518706 665000
1344913 670000
1614591 675000
1990574 680000
1464193 685000
1397209 690000
1374662 695000
1293177 700000
1572285 705000
1510319 710000
1389561 715000
1418506 720000
1435131 725000
1472220 730000
1611287 735000
1445119 740000
1815015 745000
1963334 750000
1501838 755000
1535121 760000
1538430 765000
1522633 770000
1417410 775000
1353248 780000
1517274 785000
1595995 790000
1472375 795000
1424721 800000
1433538 805000
1451627 810000
1493526 815000
1429441 820000
1644288 825000
1650266 830000
1652113 835000
1518101 840000
1504932 845000
1520668 850000
1506678 855000
1561788 860000
1663310 865000
1696047 870000
1560119 875000
1565317 880000
1583497 885000
1593039 890000
1571977 895000
1791430 900000
1854865 905000
1674432 910000
1698029 915000
1715987 920000
1657966 925000
1672764 930000
1983670 935000
1800246 940000
1671974 945000
1686266 950000
1759786 955000
1701166 960000
1755962 965000
1910588 970000
1975481 975000
1951827 980000
1949872 985000
1921390 990000
1850121 995000
2250284 1000000
2221155 1005000
1987132 1010000
1858040 1015000
1994777 1020000
1841369 1025000
2157597 1030000
2075951 1035000
1898035 1040000
1902169 1045000
1892396 1050000
1863508 1055000
2077379 1060000
2091861 1065000
1940134 1070000
1973153 1075000
1980532 1080000
1969579 1085000
2177451 1090000
2265357 1095000
2199687 1100000
2310312 1105000
2437802 1110000
2126459 1115000
2319252 1120000
2227745 1125000
2305008 1130000
2128690 1135000
2082067 1140000
2151514 1145000
2318661 1150000
2088260 1155000
2109078 1160000
2106097 1165000
2166182 1170000
2618302 1175000
2391888 1180000
2259395 1185000
2509623 1190000
2451015 1195000
2708697 1200000
2427349 1205000
2410355 1210000
2478988 1215000
2409997 1220000
2718460 1225000
2713702 1230000
2382228 1235000
2488149 1240000
2448134 1245000
2530728 1250000
2471981 1255000
2297917 1260000
2282583 1265000
2318185 1270000
2435415 1275000
2580706 1280000
2329996 1285000
2423883 1290000
2338655 1295000
2493997 1300000
2581552 1305000
2385476 1310000
2374291 1315000
2343255 1320000
2680019 1325000
2607090 1330000
2385467 1335000
2385286 1340000
2439500 1345000
2677043 1350000
2536833 1355000
2455841 1360000
2461638 1365000
2563667 1370000
2716583 1375000
2494584 1380000
2474559 1385000
2517590 1390000
2686983 1395000
2700263 1400000
2563636 1405000
2585812 1410000
2584652 1415000
2959873 1420000
2660142 1425000
2579443 1430000
2595704 1435000
2752129 1440000
2837393 1445000
2598286 1450000
2722628 1455000
2680181 1460000
3037998 1465000
2702784 1470000
2674429 1475000
2646391 1480000
2931687 1485000
2738487 1490000
2683269 1495000
2690382 1500000
3039069 1505000
3038148 1510000
2754889 1515000
2741427 1520000
2874696 1525000
2949548 1530000
2791649 1535000
2850864 1540000
2857507 1545000
3383406 1550000
2817080 1555000
2841408 1560000
2890218 1565000
3097096 1570000
2812775 1575000
2892886 1580000
2893584 1585000
3139720 1590000
2875394 1595000
2909619 1600000
2934161 1605000
3198987 1610000
2881562 1615000
2964301 1620000
2993877 1625000
3195990 1630000
2969039 1635000
2989026 1640000
3043080 1645000
3270287 1650000
2961042 1655000
3072672 1660000
3133555 1665000
3235985 1670000
3273207 1675000
3219856 1680000
3242051 1685000
3207459 1690000
3031784 1695000
3045118 1700000
3402265 1705000
3155236 1710000
3124278 1715000
3109916 1720000
3413199 1725000
3672825 1730000
3581620 1735000
3260756 1740000
3368601 1745000
3177147 1750000
3204623 1755000
3755135 1760000
3683626 1765000
3425298 1770000
3703232 1775000
3919085 1780000
3363145 1785000
3371109 1790000
3675606 1795000
3449699 1800000
3620479 1805000
3917419 1810000
3877988 1815000
3412190 1820000
3258791 1825000
3824055 1830000
3579858 1835000
3459746 1840000
3710718 1845000
3975570 1850000
3554665 1855000
3832192 1860000
4309726 1865000
3880227 1870000
3802344 1875000
4219813 1880000
3494089 1885000
3826410 1890000
4327975 1895000
4570564 1900000
3827490 1905000
4015247 1910000
3896221 1915000
4357202 1920000
3630574 1925000
4008089 1930000
3623336 1935000
3589666 1940000
3943034 1945000
3667808 1950000
4077787 1955000
4077888 1960000
3892356 1965000
3761812 1970000
4207399 1975000
3993767 1980000
3923773 1985000
3941566 1990000
3983097 1995000
4021508 2000000
4109442 2005000
4187343 2010000
3883026 2015000
3892941 2020000
4047623 2025000
4085600 2030000
4108933 2035000
4233661 2040000
4025046 2045000
4248236 2050000
4301771 2055000
4140022 2060000
3962550 2065000
4187022 2070000
4165342 2075000
3810091 2080000
4197476 2085000
3848717 2090000
3830734 2095000
4324585 2100000
3889929 2105000
3844329 2110000
4333000 2115000
3935839 2120000
3952005 2125000
4366629 2130000
3952886 2135000
3947866 2140000
5471949 2145000
4560533 2150000
4194730 2155000
5420166 2160000
4799787 2165000
4344719 2170000
4466741 2175000
4177318 2180000
4491477 2185000
4361183 2190000
4084694 2195000
4711723 2200000
4542883 2205000
4455630 2210000
5825413 2215000
5160204 2220000
4791497 2225000
4771465 2230000
4285705 2235000
4973867 2240000
4656708 2245000
4453022 2250000
4554935 2255000
4558564 2260000
4721866 2265000
4738530 2270000
4337856 2275000
4606896 2280000
4510951 2285000
4411907 2290000
4908970 2295000
4916020 2300000
4236631 2305000
4566905 2310000
4631780 2315000
4647511 2320000
4894420 2325000
4452437 2330000
4739383 2335000
4965741 2340000
4882393 2345000
4790191 2350000
4670960 2355000
4722019 2360000
4672045 2365000
4331894 2370000
4735139 2375000
4830510 2380000
4948813 2385000
5166072 2390000
4591079 2395000
4513218 2400000
4768298 2405000
4400456 2410000
4781101 2415000
4625549 2420000
4615552 2425000
5461512 2430000
4823299 2435000
4842956 2440000
5204444 2445000
4900592 2450000
5095011 2455000
5125737 2460000
5301025 2465000
5479637 2470000
5009237 2475000
4944534 2480000
4645931 2485000
4694140 2490000
4941539 2495000
4730453 2500000
