time size
21596 10000
30297 15000
39465 20000
52184 25000
70741 30000
80963 35000
64156 40000
83533 45000
88425 50000
87555 55000
117642 60000
115260 65000
120254 70000
124351 75000
128768 80000
140817 85000
133127 90000
160354 95000
171039 100000
163511 105000
178300 110000
171644 115000
190485 120000
192146 125000
197979 130000
205145 135000
213808 140000
214613 145000
224637 150000
233959 155000
241631 160000
247798 165000
254652 170000
267364 175000
271688 180000
280957 185000
288914 190000
292519 195000
305345 200000
331694 205000
323698 210000
322472 215000
346432 220000
347399 225000
365012 230000
363817 235000
379906 240000
406649 245000
420174 250000
411193 255000
398469 260000
417747 265000
416595 270000
454799 275000
438373 280000
434832 285000
441223 290000
449804 295000
454513 300000
471721 305000
483464 310000
487005 315000
494908 320000
504359 325000
505025 330000
520274 335000
555480 340000
567972 345000
584317 350000
571714 355000
623365 360000
731177 365000
600496 370000
635226 375000
735796 380000
616189 385000
625779 390000
625858 395000
631694 400000
674647 405000
662252 410000
672475 415000
716137 420000
702902 425000
709132 430000
721370 435000
748400 440000
733475 445000
720399 450000
837771 455000
914063 460000
773585 465000
802340 470000
731258 475000
753460 480000
753577 485000
757436 490000
744289 495000
751912 500000
788230 505000
844669 510000
805344 515000
830109 520000
837683 525000
814039 530000
848218 535000
811453 540000
868285 545000
867455 550000
911286 555000
891151 560000
898048 565000
878523 570000
896069 575000
886213 580000
901978 585000
909144 590000
894142 595000
955686 600000
930580 605000
971956 610000
988991 615000
967009 620000
951617 625000
958994 630000
977586 635000
977738 640000
979495 645000
996356 650000
1004313 655000
1000964 660000
1034169 665000
1075080 670000
1057047 675000
1083626 680000
1057326 685000
1042579 690000
1060178 695000
1049220 700000
1074991 705000
1232182 710000
1231213 715000
1187089 720000
1237169 725000
1174284 730000
1224827 735000
1149310 740000
1197737 745000
1136442 750000
1139898 755000
1152780 760000
1189308 765000
1187730 770000
1239252 775000
1252756 780000
1257642 785000
1306918 790000
1276536 795000
1274870 800000
1357484 805000
1374208 810000
1307114 815000
1339145 820000
1413925 825000
1387231 830000
1359106 835000
1358728 840000
1316885 845000
1383473 850000
