time size
68 10000
50 15000
67 20000
168 25000
101 30000
153 35000
178 40000
151 45000
167 50000
184 55000
201 60000
218 65000
234 70000
268 75000
313 80000
343 85000
335 90000
318 95000
334 100000
357 105000
367 110000
408 115000
401 120000
450 125000
435 130000
511 135000
468 140000
487 145000
501 150000
529 155000
584 160000
667 165000
650 170000
917 175000
905 180000
676 185000
752 190000
651 195000
677 200000
714 205000
744 210000
764 215000
811 220000
752 225000
785 230000
789 235000
824 240000
898 245000
861 250000
858 255000
891 260000
888 265000
930 270000
928 275000
940 280000
956 285000
972 290000
994 295000
1006 300000
1054 305000
1165 310000
1066 315000
1080 320000
1376 325000
1122 330000
1238 335000
1138 340000
1157 345000
1172 350000
1275 355000
1216 360000
1221 365000
1239 370000
1273 375000
1408 380000
1294 385000
1315 390000
1505 395000
1502 400000
1397 405000
1437 410000
1498 415000
1598 420000
1929 425000
1811 430000
1641 435000
1538 440000
1780 445000
1636 450000
1554 455000
1597 460000
1823 465000
1711 470000
2201 475000
1758 480000
1640 485000
1776 490000
1751 495000
1815 500000
1840 505000
2472 510000
1910 515000
1997 520000
1798 525000
1787 530000
1810 535000
1860 540000
1930 545000
2009 550000
1947 555000
2118 560000
2111 565000
2045 570000
2002 575000
2375 580000
2012 585000
2083 590000
2068 595000
2277 600000
2169 605000
2400 610000
2363 615000
2293 620000
2283 625000
2289 630000
2720 635000
2545 640000
2346 645000
2357 650000
2371 655000
2391 660000
2362 665000
2266 670000
2262 675000
2340 680000
2307 685000
2334 690000
2368 695000
2351 700000
2636 705000
2387 710000
2405 715000
2791 720000
2448 725000
2494 730000
2474 735000
2494 740000
2575 745000
2545 750000
2713 755000
2755 760000
2782 765000
2801 770000
2832 775000
2843 780000
2825 785000
2643 790000
2690 795000
2721 800000
2695 805000
3031 810000
2883 815000
3190 820000
2787 825000
2986 830000
2930 835000
2812 840000
2838 845000
5805 850000
4986 855000
3380 860000
3179 865000
3064 870000
2939 875000
2962 880000
2966 885000
2999 890000
2999 895000
3313 900000
3283 905000
3257 910000
3111 915000
3250 920000
3353 925000
3344 930000
3253 935000
3202 940000
3818 945000
3338 950000
3821 955000
4375 960000
3520 965000
3781 970000
4124 975000
3766 980000
3702 985000
4621 990000
3506 995000
4007 1000000
3413 1005000
3672 1010000
3418 1015000
3892 1020000
3518 1025000
3870 1030000
3844 1035000
40994 1040000
7069 1045000
6295 1050000
4709 1055000
3620 1060000
3584 1065000
3895 1070000
3946 1075000
4181 1080000
4196 1085000
4180 1090000
4142 1095000
3988 1100000
4290 1105000
4034 1110000
4212 1115000
3782 1120000
4022 1125000
4290 1130000
4301 1135000
4542 1140000
4173 1145000
4193 1150000
4191 1155000
3974 1160000
3956 1165000
4147 1170000
4037 1175000
4002 1180000
4067 1185000
4128 1190000
4105 1195000
4092 1200000
4117 1205000
4219 1210000
4265 1215000
4685 1220000
