time size
196 50000
234 55000
278 60000
284 65000
308 70000
341 75000
463 80000
387 85000
436 90000
478 95000
483 100000
486 105000
562 110000
549 115000
595 120000
585 125000
660 130000
701 135000
729 140000
745 145000
764 150000
1127 155000
827 160000
944 165000
864 170000
980 175000
987 180000
969 185000
963 190000
1003 195000
1086 200000
1010 205000
1084 210000
1054 215000
1227 220000
1219 225000
1444 230000
1110 235000
1200 240000
1242 245000
1624 250000
1271 255000
1437 260000
1404 265000
1670 270000
1425 275000
1379 280000
1850 285000
1567 290000
1516 295000
1596 300000
1630 305000
1665 310000
2159 315000
1716 320000
1811 325000
2109 330000
1969 335000
1745 340000
1880 345000
1831 350000
1885 355000
1996 360000
2555 365000
2245 370000
1973 375000
2111 380000
2127 385000
2161 390000
2037 395000
2160 400000
2207 405000
2188 410000
2311 415000
2369 420000
2393 425000
2524 430000
2214 435000
2589 440000
2428 445000
2453 450000
2396 455000
2396 460000
2560 465000
2564 470000
2697 475000
2459 480000
2555 485000
2580 490000
2683 495000
2606 500000
2739 505000
2813 510000
2667 515000
3120 520000
3271 525000
3210 530000
2619 535000
2914 540000
2888 545000
3226 550000
3598 555000
3408 560000
3841 565000
4035 570000
4475 575000
3118 580000
3327 585000
3902 590000
3643 595000
3089 600000
4028 605000
3791 610000
3941 615000
3469 620000
3774 625000
3971 630000
3366 635000
4333 640000
3951 645000
3670 650000
4202 655000
4562 660000
4215 665000
4108 670000
3930 675000
3753 680000
4404 685000
3867 690000
4578 695000
4470 700000
4475 705000
4301 710000
4338 715000
4393 720000
4728 725000
4400 730000
5253 735000
4732 740000
5179 745000
5392 750000
5171 755000
5768 760000
5185 765000
4890 770000
5144 775000
5179 780000
5038 785000
5742 790000
4442 795000
4215 800000
4210 805000
6013 810000
5302 815000
5062 820000
4924 825000
5330 830000
5200 835000
5532 840000
5419 845000
5725 850000
4987 855000
5776 860000
6612 865000
6042 870000
5803 875000
5697 880000
5907 885000
5512 890000
6739 895000
6593 900000
6448 905000
5691 910000
6011 915000
5923 920000
6469 925000
6266 930000
6666 935000
5610 940000
6649 945000
6337 950000
6490 955000
6388 960000
6271 965000
6760 970000
7254 975000
6651 980000
6673 985000
6614 990000
6762 995000
6868 1000000
6698 1005000
7214 1010000
7116 1015000
7369 1020000
7313 1025000
6910 1030000
7292 1035000
6999 1040000
7018 1045000
