time size
189 50100
217 55100
263 60100
283 65100
290 70100
322 75100
351 80100
488 85100
418 90100
462 95100
461 100100
519 105100
543 110100
565 115100
579 120100
599 125100
673 130100
671 135100
729 140100
734 145100
783 150100
853 155100
833 160100
1141 165100
901 170100
846 175100
976 180100
900 185100
1103 190100
966 195100
887 200100
1207 205100
1001 210100
1163 215100
991 220100
1317 225100
1500 230100
1172 235100
1347 240100
1277 245100
1313 250100
1298 255100
1554 260100
1416 265100
1383 270100
1560 275100
1602 280100
1402 285100
1456 290100
1563 295100
1759 300100
1605 305100
1718 310100
1580 315100
1954 320100
1708 325100
1789 330100
1779 335100
2041 340100
1847 345100
1921 350100
1964 355100
2033 360100
2165 365100
2191 370100
2272 375100
2188 380100
2095 385100
2154 390100
2168 395100
2238 400100
2231 405100
2241 410100
2088 415100
2350 420100
2342 425100
2289 430100
2296 435100
2204 440100
2283 445100
2360 450100
2362 455100
2414 460100
2371 465100
2397 470100
2480 475100
2564 480100
2470 485100
2597 490100
2529 495100
2655 500100
2609 505100
2897 510100
3127 515100
2719 520100
2831 525100
3359 530100
3913 535100
3057 540100
3564 545100
3603 550100
4034 555100
3437 560100
3559 565100
3559 570100
3266 575100
3494 580100
3183 585100
4126 590100
3745 595100
3522 600100
3600 605100
3430 610100
3414 615100
3344 620100
3753 625100
4540 630100
3563 635100
4055 640100
3534 645100
3384 650100
3751 655100
3766 660100
4107 665100
4166 670100
3816 675100
4454 680100
4637 685100
4851 690100
4613 695100
4033 700100
4025 705100
4262 710100
4293 715100
4939 720100
5074 725100
4346 730100
4343 735100
4643 740100
5341 745100
4706 750100
4949 755100
5108 760100
4946 765100
5426 770100
4968 775100
5532 780100
5144 785100
4606 790100
5684 795100
4552 800100
4705 805100
5726 810100
5265 815100
5455 820100
5362 825100
5320 830100
4689 835100
4769 840100
5201 845100
5392 850100
6046 855100
5785 860100
6540 865100
5972 870100
6309 875100
6126 880100
5345 885100
5921 890100
5907 895100
6844 900100
5437 905100
5901 910100
6933 915100
6548 920100
6136 925100
5495 930100
6377 935100
5272 940100
6176 945100
6278 950100
6283 955100
5953 960100
6133 965100
6717 970100
6510 975100
6592 980100
6114 985100
6687 990100
6508 995100
6928 1000100
7043 1005100
6654 1010100
7330 1015100
7015 1020100
7157 1025100
7097 1030100
6425 1035100
7421 1040100
6628 1045100
6784 1050100
6990 1055100
7255 1060100
6667 1065100
7662 1070100
6794 1075100
8171 1080100
6990 1085100
6929 1090100
6556 1095100
7996 1100100
6602 1105100
6806 1110100
7209 1115100
7941 1120100
7957 1125100
7495 1130100
7086 1135100
8571 1140100
7707 1145100
6521 1150100
7191 1155100
7152 1160100
7883 1165100
6361 1170100
6570 1175100
6990 1180100
7803 1185100
7464 1190100
8161 1195100
6789 1200100
6975 1205100
7958 1210100
6790 1215100
7277 1220100
7751 1225100
7436 1230100
7842 1235100
6927 1240100
7829 1245100
7777 1250100
8730 1255100
7812 1260100
7816 1265100
6470 1270100
8220 1275100
7557 1280100
9049 1285100
9069 1290100
7704 1295100
8667 1300100
8536 1305100
7389 1310100
8313 1315100
7772 1320100
7401 1325100
7317 1330100
8362 1335100
8574 1340100
9320 1345100
9906 1350100
8248 1355100
8816 1360100
9299 1365100
9296 1370100
9632 1375100
8244 1380100
9245 1385100
9998 1390100
9516 1395100
9192 1400100
9093 1405100
10094 1410100
9049 1415100
9933 1420100
8996 1425100
10560 1430100
9219 1435100
10377 1440100
9808 1445100
9900 1450100
9952 1455100
8717 1460100
9814 1465100
9559 1470100
9857 1475100
9044 1480100
10993 1485100
10191 1490100
9034 1495100
8992 1500100
10274 1505100
9918 1510100
11515 1515100
9262 1520100
10499 1525100
10308 1530100
10247 1535100
9839 1540100
11703 1545100
11054 1550100
10653 1555100
10825 1560100
9592 1565100
10357 1570100
9988 1575100
9720 1580100
9292 1585100
8414 1590100
10716 1595100
11313 1600100
9895 1605100
10226 1610100
9604 1615100
11080 1620100
9297 1625100
9591 1630100
9176 1635100
10821 1640100
11459 1645100
10635 1650100
10415 1655100
9914 1660100
11289 1665100
10740 1670100
9803 1675100
10698 1680100
10160 1685100
9729 1690100
9077 1695100
8883 1700100
9773 1705100
11807 1710100
11008 1715100
11121 1720100
11345 1725100
10863 1730100
13019 1735100
11452 1740100
10989 1745100
12143 1750100
11073 1755100
11050 1760100
11070 1765100
10649 1770100
10566 1775100
11955 1780100
10896 1785100
13065 1790100
11756 1795100
11703 1800100
12893 1805100
11726 1810100
11606 1815100
11603 1820100
12900 1825100
11084 1830100
12155 1835100
11181 1840100
11356 1845100
12835 1850100
12177 1855100
11475 1860100
12512 1865100
12843 1870100
11007 1875100
11695 1880100
12324 1885100
12277 1890100
11972 1895100
11737 1900100
11061 1905100
11161 1910100
12955 1915100
13446 1920100
11712 1925100
12634 1930100
12432 1935100
11856 1940100
13109 1945100
13767 1950100
13785 1955100
11847 1960100
12930 1965100
13536 1970100
13385 1975100
12820 1980100
13426 1985100
12861 1990100
14260 1995100
12363 2000100
13771 2005100
13910 2010100
13574 2015100
12970 2020100
13215 2025100
14666 2030100
13792 2035100
14432 2040100
13733 2045100
14437 2050100
13643 2055100
13102 2060100
14222 2065100
13660 2070100
13803 2075100
12847 2080100
14468 2085100
13855 2090100
14354 2095100
11906 2100100
12343 2105100
14161 2110100
11835 2115100
13848 2120100
12771 2125100
12899 2130100
12823 2135100
13576 2140100
12131 2145100
12171 2150100
13800 2155100
12491 2160100
12630 2165100
13177 2170100
12732 2175100
13187 2180100
12837 2185100
14831 2190100
12998 2195100
13232 2200100
13421 2205100
12227 2210100
12335 2215100
12735 2220100
12918 2225100
12622 2230100
14734 2235100
12770 2240100
13481 2245100
13087 2250100
14628 2255100
13510 2260100
12673 2265100
14021 2270100
13936 2275100
13401 2280100
13591 2285100
14087 2290100
13371 2295100
13256 2300100
15054 2305100
15177 2310100
14361 2315100
13062 2320100
15351 2325100
13896 2330100
15341 2335100
15758 2340100
13759 2345100
15793 2350100
15997 2355100
15374 2360100
15463 2365100
15333 2370100
14814 2375100
13859 2380100
13398 2385100
14262 2390100
15597 2395100
15359 2400100
13764 2405100
14053 2410100
14707 2415100
15175 2420100
15332 2425100
16905 2430100
15583 2435100
15019 2440100
14656 2445100
16532 2450100
16660 2455100
16101 2460100
15200 2465100
15599 2470100
14411 2475100
15958 2480100
15687 2485100
16090 2490100
14992 2495100
17745 2500100
