time size
25 50000
34 55000
31 60000
33 65000
41 70000
38 75000
40 80000
46 85000
48 90000
54 95000
72 100000
76 105000
80 110000
65 115000
89 120000
76 125000
73 130000
77 135000
79 140000
83 145000
86 150000
90 155000
93 160000
95 165000
102 170000
103 175000
106 180000
114 185000
113 190000
117 195000
118 200000
122 205000
125 210000
129 215000
133 220000
134 225000
142 230000
143 235000
186 240000
217 245000
158 250000
196 255000
184 260000
218 265000
227 270000
214 275000
203 280000
239 285000
257 290000
246 295000
204 300000
296 305000
305 310000
275 315000
255 320000
227 325000
253 330000
302 335000
254 340000
359 345000
244 350000
256 355000
294 360000
273 365000
298 370000
316 375000
292 380000
330 385000
260 390000
505 395000
271 400000
332 405000
263 410000
264 415000
267 420000
298 425000
297 430000
315 435000
292 440000
293 445000
353 450000
339 455000
466 460000
411 465000
316 470000
322 475000
393 480000
390 485000
454 490000
332 495000
358 500000
480 505000
459 510000
424 515000
393 520000
434 525000
433 530000
792 535000
425 540000
450 545000
362 550000
349 555000
359 560000
469 565000
355 570000
353 575000
414 580000
498 585000
364 590000
367 595000
487 600000
410 605000
383 610000
420 615000
411 620000
418 625000
392 630000
471 635000
402 640000
476 645000
465 650000
427 655000
594 660000
592 665000
425 670000
421 675000
477 680000
640 685000
502 690000
486 695000
446 700000
449 705000
584 710000
486 715000
448 720000
555 725000
539 730000
485 735000
529 740000
686 745000
558 750000
840 755000
670 760000
534 765000
634 770000
594 775000
495 780000
504 785000
709 790000
638 795000
746 800000
627 805000
838 810000
602 815000
691 820000
613 825000
781 830000
780 835000
698 840000
761 845000
651 850000
724 855000
761 860000
689 865000
767 870000
797 875000
736 880000
812 885000
845 890000
728 895000
731 900000
922 905000
844 910000
782 915000
786 920000
814 925000
901 930000
771 935000
815 940000
1015 945000
981 950000
937 955000
813 960000
842 965000
881 970000
912 975000
836 980000
891 985000
767 990000
713 995000
1066 1000000
851 1005000
841 1010000
796 1015000
766 1020000
804 1025000
856 1030000
728 1035000
851 1040000
788 1045000
985 1050000
1072 1055000
958 1060000
836 1065000
1263 1070000
860 1075000
959 1080000
830 1085000
981 1090000
858 1095000
981 1100000
949 1105000
898 1110000
926 1115000
870 1120000
1041 1125000
1033 1130000
894 1135000
961 1140000
1093 1145000
960 1150000
979 1155000
985 1160000
1086 1165000
1108 1170000
973 1175000
1084 1180000
960 1185000
979 1190000
1039 1195000
926 1200000
1059 1205000
1052 1210000
1009 1215000
992 1220000
1068 1225000
1118 1230000
1219 1235000
1167 1240000
1282 1245000
1204 1250000
1329 1255000
1137 1260000
1141 1265000
1113 1270000
1048 1275000
1151 1280000
1107 1285000
1337 1290000
1205 1295000
1272 1300000
1246 1305000
1303 1310000
1254 1315000
1103 1320000
1093 1325000
1359 1330000
1222 1335000
1274 1340000
1396 1345000
1167 1350000
1638 1355000
1315 1360000
1437 1365000
1302 1370000
1174 1375000
1363 1380000
1491 1385000
1386 1390000
1196 1395000
1276 1400000
1305 1405000
1443 1410000
1279 1415000
1299 1420000
1514 1425000
1590 1430000
1343 1435000
1277 1440000
1342 1445000
1403 1450000
1484 1455000
1402 1460000
1589 1465000
1475 1470000
1283 1475000
1513 1480000
1475 1485000
1351 1490000
1336 1495000
1354 1500000
1496 1505000
1391 1510000
1338 1515000
1477 1520000
1473 1525000
1295 1530000
1697 1535000
1480 1540000
1430 1545000
1482 1550000
1498 1555000
1432 1560000
1551 1565000
1439 1570000
1510 1575000
1521 1580000
1461 1585000
1466 1590000
1601 1595000
1418 1600000
1676 1605000
1627 1610000
1837 1615000
1632 1620000
1672 1625000
1599 1630000
1751 1635000
1592 1640000
2002 1645000
1762 1650000
2116 1655000
1700 1660000
1701 1665000
1830 1670000
1519 1675000
1644 1680000
1618 1685000
1650 1690000
1884 1695000
1697 1700000
1579 1705000
1641 1710000
1918 1715000
1772 1720000
1552 1725000
1665 1730000
2120 1735000
1687 1740000
1620 1745000
1884 1750000
1735 1755000
1726 1760000
1929 1765000
1689 1770000
1739 1775000
1810 1780000
1728 1785000
1673 1790000
2092 1795000
1618 1800000
1656 1805000
1943 1810000
1761 1815000
1841 1820000
1904 1825000
1848 1830000
1881 1835000
1860 1840000
1826 1845000
1784 1850000
1915 1855000
1841 1860000
1911 1865000
2067 1870000
2196 1875000
1944 1880000
1744 1885000
1725 1890000
2102 1895000
1912 1900000
2305 1905000
1898 1910000
1901 1915000
1784 1920000
1936 1925000
1880 1930000
1894 1935000
1982 1940000
2179 1945000
1827 1950000
2021 1955000
1976 1960000
1905 1965000
2153 1970000
2089 1975000
2007 1980000
2168 1985000
1963 1990000
